xid,wse_sB_0020_1218,wse_sB_0100_1218,wse_sB_0200_1218,wse_sB_0500_1218
2,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
7,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
11,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
14,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
18,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
20,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
21,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
25,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
26,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
29,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
30,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
31,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
33,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
36,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
40,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
42,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
43,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
44,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
47,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
49,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
50,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
51,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
52,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
55,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
56,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
59,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
60,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
63,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
66,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
69,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
70,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
71,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
73,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
74,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
75,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
76,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
77,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
79,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
82,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
83,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
84,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
85,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
86,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
87,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
88,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
89,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
90,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
92,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
93,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
94,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
95,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
96,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
97,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
98,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
100,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
101,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
103,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
104,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
108,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
113,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
115,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
126,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
129,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
130,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
131,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
132,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
134,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
135,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
136,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
137,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
138,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
139,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
140,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
144,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
147,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
165,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
179,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
180,282.587158203125,282.7939453125,282.9539489746094,283.06072998046875
182,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
183,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
185,285.982177734375,286.16363525390625,286.3013000488281,286.3951110839844
187,279.5199890136719,291.4208984375,291.5809020996094,291.6827392578125
195,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
210,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
212,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
213,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
214,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
220,279.5199890136719,296.751953125,296.89703369140625,296.9972839355469
224,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
226,279.5199890136719,296.8232727050781,296.9723205566406,297.08050537109375
227,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
228,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
229,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
230,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
232,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
233,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
234,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
237,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
239,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
247,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
261,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
262,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
265,279.5199890136719,297.0455322265625,297.2055358886719,297.32275390625
287,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
289,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
293,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
294,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
297,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
299,279.5199890136719,297.2042541503906,297.3736877441406,297.4936828613281
301,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
302,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
303,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
304,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
306,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
308,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
310,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
312,297.01800537109375,297.2380065917969,297.41082763671875,297.52801513671875
313,279.5199890136719,280.07000732421875,297.4649963378906,297.5772705078125
315,279.5199890136719,297.288818359375,297.4666748046875,297.5788269042969
